id,cliente_id,data,valor,moeda
520001,89,2025-03-23,3598.53,BRL
520002,49,2025-03-23,3523.24,USD
520003,31,2025-04-21,2460.43,EUR
520004,14,2025-04-21,2537.55,USD
520005,52,2025-03-23,3277.08,BRL
520006,36,2025-03-28,1930.35,USD
520007,51,2025-04-18,561.51,BRL
520008,63,2025-04-19,3539.48,USD
520009,91,2025-03-24,1685.26,BRL
520010,74,2025-04-22,4167.05,USD
520011,72,2025-04-21,2697.35,USD
520012,18,2025-04-09,2864.51,USD
520013,56,2025-04-14,1693.43,BRL
520014,82,2025-04-01,3973.39,EUR
520015,26,2025-03-31,4813.25,USD
520016,62,2025-04-21,2770.44,USD
520017,95,2025-04-19,4653.8,EUR
520018,75,2025-04-21,1142.82,BRL
520019,62,2025-03-27,745.27,BRL
520020,59,2025-03-27,2556.65,BRL
520021,29,2025-04-03,1694.76,EUR
520022,7,2025-04-18,1365.27,BRL
520023,22,2025-04-18,1205.83,BRL
520024,83,2025-04-20,163.33,EUR
520025,89,2025-03-25,1622.32,USD
520026,37,2025-04-02,2720.9,USD
520027,75,2025-03-30,371.08,USD
520028,66,2025-04-17,2372.05,BRL
520029,6,2025-04-15,3091.45,EUR
520030,41,2025-03-30,305.78,BRL
520031,47,2025-03-31,4585.08,BRL
520032,11,2025-03-28,2639.48,EUR
520033,29,2025-04-13,3831.02,EUR
520034,6,2025-04-13,4903.52,BRL
520035,92,2025-04-03,164.44,USD
520036,41,2025-04-09,673.49,EUR
520037,49,2025-03-24,270.87,BRL
520038,97,2025-04-05,4697.46,BRL
520039,97,2025-04-21,3467.52,USD
520040,47,2025-04-05,4057.95,BRL
520041,35,2025-04-09,3161.58,EUR
520042,6,2025-04-12,2885.81,BRL
520043,57,2025-04-17,2125.31,EUR
520044,50,2025-04-04,1251.57,EUR
520045,66,2025-04-17,1641.42,USD
520046,83,2025-04-04,4746.14,BRL
520047,21,2025-03-26,2188.63,BRL
520048,42,2025-03-24,1899.38,EUR
520049,87,2025-03-31,776.99,EUR
520050,39,2025-04-10,3946.52,EUR
520051,18,2025-04-10,4893.51,EUR
520052,96,2025-03-27,4023.23,USD
520053,7,2025-04-08,4909.91,USD
520054,92,2025-04-17,1043.15,EUR
520055,76,2025-04-11,3769.99,USD
520056,7,2025-04-02,1527.68,EUR
520057,0,2025-03-30,4942.51,USD
520058,36,2025-04-03,3007.48,BRL
520059,18,2025-04-19,3338.91,USD
520060,9,2025-04-18,2317.05,USD
520061,52,2025-04-04,3770.22,EUR
520062,69,2025-03-28,1724.95,EUR
520063,75,2025-03-26,2763.06,EUR
520064,38,2025-04-06,2117.31,BRL
520065,91,2025-04-07,3498.85,EUR
520066,1,2025-03-26,2097.01,BRL
520067,94,2025-03-27,738.34,EUR
520068,42,2025-04-02,1066.21,USD
520069,97,2025-03-24,1560.94,BRL
520070,36,2025-04-20,4098.2,BRL
520071,73,2025-04-21,1510.09,USD
520072,13,2025-03-31,4709.78,EUR
520073,6,2025-04-07,3599.28,BRL
520074,5,2025-03-23,473.7,USD
520075,92,2025-03-28,3221.61,EUR
520076,14,2025-04-18,421.6,BRL
520077,22,2025-03-29,1419.43,BRL
520078,30,2025-04-21,4346.91,USD
520079,68,2025-04-14,823.68,EUR
520080,38,2025-04-11,297.26,EUR
520081,3,2025-04-21,1718.98,USD
520082,69,2025-04-17,1456.84,USD
520083,25,2025-04-17,4165.73,USD
520084,65,2025-04-10,2158.89,USD
520085,68,2025-04-06,637.61,USD
520086,16,2025-04-15,4910.1,BRL
520087,47,2025-03-27,3295.66,BRL
520088,96,2025-04-17,2922.43,EUR
520089,92,2025-03-28,1726.74,BRL
520090,22,2025-04-12,185.56,BRL
520091,46,2025-03-30,655.54,USD
520092,42,2025-04-08,1478.93,BRL
520093,77,2025-03-24,2103.91,EUR
