id,cliente_id,data,valor,moeda,suspeita
520001,75,2025-04-07,939.54,EUR,1
520002,94,2025-03-26,308.23,EUR,1
520003,58,2025-04-04,4055.79,USD,1
520004,71,2025-04-21,994.32,USD,1
520005,21,2025-03-26,4824.38,USD,1
520006,30,2025-03-27,1473.77,USD,1
520007,78,2025-04-20,1881.19,BRL,1
520008,81,2025-04-06,1679.68,BRL,1
520009,28,2025-03-23,4366.04,BRL,1
520010,84,2025-03-23,2951.78,USD,1
520011,5,2025-04-22,3283.89,BRL,1
520012,4,2025-04-06,1812.16,EUR,1
520013,76,2025-04-15,3720.25,USD,1
520014,54,2025-03-25,644.7,BRL,0
520015,52,2025-04-14,1763.4,EUR,1
520016,37,2025-03-24,1631.87,EUR,1
520017,47,2025-04-14,1612.73,EUR,1
520018,34,2025-04-07,3028.06,BRL,1
520019,2,2025-03-25,4493.44,USD,1
520020,88,2025-03-30,632.01,EUR,1
520021,67,2025-04-02,4392.96,EUR,1
520022,69,2025-04-21,4810.88,BRL,1
520023,38,2025-03-31,902.98,BRL,0
520024,7,2025-04-19,4281.33,EUR,1
520025,7,2025-04-04,1179.69,EUR,1
520026,84,2025-04-02,504.15,BRL,0
520027,25,2025-04-22,4306.91,BRL,1
520028,7,2025-04-03,4366.17,EUR,1
520029,8,2025-03-25,1087.17,USD,1
520030,26,2025-04-12,3114.73,USD,1
520031,52,2025-04-04,1747.18,BRL,0
520032,2,2025-03-30,2909.59,USD,1
520033,71,2025-04-11,383.75,BRL,0
520034,54,2025-04-01,3114.64,EUR,1
520035,29,2025-04-18,3529.51,EUR,1
520036,20,2025-03-25,940.55,USD,1
520037,48,2025-04-19,970.29,EUR,1
520038,54,2025-04-22,1168.35,EUR,1
520039,56,2025-04-19,42.0,BRL,1
520040,4,2025-03-31,1922.37,EUR,1
520041,57,2025-04-13,3052.04,EUR,1
520042,85,2025-04-10,2721.89,BRL,0
520043,98,2025-04-04,1455.8,EUR,1
520044,72,2025-04-22,1379.57,USD,1
520045,6,2025-04-11,3186.52,USD,1
520046,30,2025-04-05,1567.64,USD,1
520047,53,2025-03-23,1365.26,BRL,1
520048,80,2025-04-07,4900.89,BRL,1
520049,98,2025-04-19,1950.78,USD,1
520050,47,2025-04-09,1059.69,USD,1
520051,81,2025-04-11,3668.98,EUR,1
520052,30,2025-04-15,1133.7,EUR,1
520053,76,2025-04-07,245.41,BRL,0
520054,85,2025-03-26,2948.41,EUR,1
520055,63,2025-03-25,4845.96,BRL,1
520056,63,2025-04-11,2383.24,USD,1
520057,13,2025-04-01,3858.18,BRL,1
520058,36,2025-04-02,4215.2,BRL,1
520059,52,2025-03-30,4523.46,BRL,1
520060,11,2025-04-22,1200.52,USD,1
520061,88,2025-03-27,1232.8,USD,1
520062,14,2025-04-01,218.32,EUR,1
520063,41,2025-03-23,667.89,BRL,1
520064,10,2025-04-11,2481.3,USD,1
520065,79,2025-03-25,4336.28,BRL,1
520066,22,2025-04-10,214.65,USD,1
520067,42,2025-04-22,396.55,USD,1
520068,23,2025-04-15,4291.02,BRL,1
520069,38,2025-04-06,3779.23,EUR,1
520070,60,2025-04-09,1391.32,USD,1
520071,41,2025-03-31,2617.74,USD,1
520072,40,2025-04-05,3173.25,EUR,1
520073,65,2025-04-16,4678.12,BRL,1
520074,86,2025-03-24,693.01,USD,1
520075,82,2025-04-12,3942.28,EUR,1
520076,4,2025-03-25,165.74,BRL,0
520077,75,2025-04-08,434.57,EUR,1
520078,12,2025-04-14,4058.41,USD,1
520079,78,2025-04-15,4418.73,USD,1
520080,6,2025-03-25,1692.16,EUR,1
520081,15,2025-04-01,1562.27,BRL,0
520082,82,2025-04-02,322.97,BRL,0
520083,24,2025-04-07,434.04,BRL,0
520084,11,2025-04-15,3597.51,BRL,1
520085,43,2025-03-30,4361.36,BRL,1
520086,3,2025-04-05,4815.01,BRL,1
520087,22,2025-04-02,3182.61,BRL,1
520088,31,2025-04-21,3094.67,BRL,1
